id,ADP,WEIGHTED AGGREGATE RANK,DELTA %,PLAYER,POSITION
07105748-3c13-4459-b15a-73e27553d22d,141.3,153.7,-8.07%,Alec Pierce,WR
698f525b-aa54-4cc7-96ae-d618dc987a27,141.6,154.3,-8.23%,Romeo Doubs,WR
5378058b-db3d-4af9-8985-e8a06785cd2c,143.2,146.3,-2.12%,Derek Carr,QB
191e0387-9fa0-46fc-81d5-423a3a13255a,143.4,133.2,7.66%,Nico Collins,WR
72eba3b6-553f-475e-9f4c-cdc60e65c739,145.7,141.8,2.75%,Jordan Love,QB
97a8f579-ae82-4056-b8ee-c40a7b087425,146.6,152.3,-3.74%,Greg Dulcich,TE
fe8fdc3c-db80-4583-bf2c-d56b3d4fd169,146.6,164.3,-10.77%,Michael Gallup,WR
2748d141-61a0-4c97-8280-660b56c28bec,146.6,159.4,-8.03%,K.J. Osborn,WR
7344526d-04b7-4cf0-b3c4-daef39f79507,149.5,153.2,-2.42%,D.J. Chark,WR
2717ad81-bf5f-4988-8acf-44eae13a10ed,150.8,153,-1.44%,Tyler Allgeier,RB
8dae78a6-ae58-413b-9e8d-44e8bc8d73b3,151.8,149.1,1.81%,Tyler Higbee,TE
66583445-c2f4-4596-9e29-08b33a0cd756,153.4,168.1,-8.74%,Juwan Johnson,TE
371bdac8-ec09-4438-9e14-e5af87326c8d,153.6,143.8,6.82%,Raheem Mostert,RB
8f5d56b5-2d4a-48c6-8c3e-27a365b4f801,153.6,155.7,-1.35%,Irv Smith,TE
d2ece86c-a2a0-4268-b054-7860b7c52a74,153.9,155.3,-0.90%,Jaylen Warren,RB
2c86af79-b4c0-459c-94ca-aad878e63575,154.3,161.5,-4.46%,Donovan Peoples-Jones,WR
2ca3c537-f0c8-4757-aeae-eb38d5b69971,156.2,160.1,-2.44%,Marquez Valdes-Scantling,WR
0f4ebf0a-104a-4853-9bda-2623b8d7b11a,158,149.9,5.40%,Matthew Stafford,QB
0c8dd537-3042-4426-9fb3-490216869e11,158.7,159.1,-0.25%,D'Onta Foreman,RB
369759a5-ee48-4948-8379-1048105e2b8d,161.3,167.4,-3.64%,Rashid Shaheed,WR
8fe4548b-dd9f-4db8-b513-fc3d57f8f419,161.6,183.5,-11.93%,Ezekiel Elliott,RB
5459a229-af72-4c55-97e8-f3ff63a58471,163.1,154.8,5.36%,Bryce Young,QB
19fc6afa-0801-4d1a-8059-043de2a9e491,163.4,159.3,2.57%,Devin Singletary,RB
ea44246a-c2ab-4c20-80f0-b87a2085f644,164.8,193.9,-15.01%,Josh Downs,WR
d964ba05-be96-4219-8685-816c179220e0,166.2,159.9,3.94%,Wan'Dale Robinson,WR
4eae834a-34c5-447f-8a42-d0c9b661854f,166.5,172.5,-3.48%,Chase Brown,RB
96a8d9e5-d879-465c-b044-5911120d2a1a,167.4,172.3,-2.84%,Gerald Everett,TE
df626fef-0518-40f6-8539-8da483fd82fc,167.5,163.6,2.38%,Dawson Knox,TE
b07aac57-e352-4360-bcb7-ce70aa41eddd,168,149.8,12.15%,Tank Bigsby,RB
cac6fccc-b15e-4c29-94c4-cdf33eef3e14,169,164.4,2.80%,Sam LaPorta,TE
